"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
8,4,1,4,"true","true",1024,128,4.57052380684955e-10,8
16,4,2,2,"true","false",512,4,1.640643262543e-10,8
12,6,1,2,"true","true",512,256,1.64422204508385e-09,8
24,6,4,2,"true","true",512,128,7.10390828935519e-10,8
2,2,4,2,"true","true",128,2,5.97550288018758e-10,8
12,3,8,2,"true","false",1024,32,3.38239326173883e-10,8
4,4,16,2,"true","false",32,1,1.4128631468466e-09,8
4,1,4,2,"true","false",32,16,2.33082057853661e-09,8
16,4,2,4,"true","false",1024,1,2.12896550187525e-10,8
15,5,4,4,"true","true",1024,8,2.3611488975473e-10,8
12,3,2,4,"true","true",256,256,2.83442500946399e-09,8
8,4,16,2,"true","true",512,16,9.00398491865728e-10,8
9,3,8,2,"true","true",64,1,3.34364926050376e-10,8
18,6,4,4,"true","false",256,4,1.9107825616108e-10,8
24,6,1,2,"true","true",512,64,3.73383874705767e-10,8
9,3,8,2,"true","true",512,512,6.16837331979727e-09,8
1,1,16,4,"true","false",256,256,4.16896635994747e-08,8
3,1,2,4,"true","true",512,64,8.87838804291488e-10,8
8,4,4,4,"true","false",512,256,2.82382416858982e-09,8
10,5,2,4,"true","false",512,512,3.23384702964731e-09,8
8,4,2,2,"true","true",128,128,3.08061932664186e-09,8
6,2,1,4,"true","false",512,4,2.2447219201768e-10,8
9,3,1,4,"true","true",1024,4,2.41119511666095e-10,8
2,2,8,2,"true","true",128,1,8.72260673699046e-10,8
1,1,16,4,"true","false",256,32,5.6419070398248e-09,9
12,3,16,2,"true","false",64,1,4.36047379141839e-10,9
18,6,2,4,"true","false",128,128,3.46254580566146e-09,9
9,3,8,2,"true","true",128,4,3.20741104038183e-10,9
6,3,2,4,"true","true",1024,128,4.77404086654482e-10,9
9,3,4,4,"true","false",512,4,2.24007357535208e-10,9
6,3,8,2,"true","false",256,32,1.11211132123235e-09,9
9,3,4,2,"true","true",128,16,5.36436698311217e-10,9
4,4,16,4,"true","false",512,4,1.79947078609335e-09,9
4,1,2,4,"true","false",1024,1024,4.58983905608345e-09,9
6,6,8,4,"true","false",32,8,3.402804978385e-09,9
5,5,4,2,"true","false",128,128,1.04196784506368e-08,9
6,3,4,4,"true","false",32,4,7.64875692497715e-10,9
6,6,4,2,"true","false",1024,128,1.52371506727651e-09,9
12,6,8,2,"true","true",1024,256,2.6060839313126e-09,9
1,1,16,4,"true","true",128,1,2.03237542131994e-09,9
4,1,8,4,"true","false",1024,64,6.69900131999567e-10,9
1,1,8,4,"true","true",1024,128,3.63977108894932e-09,9
10,5,1,2,"true","false",256,16,2.27203191277583e-10,9
3,3,16,2,"true","false",128,8,1.96072335012369e-09,9
4,4,1,4,"true","false",512,1,1.29084048980831e-10,9
5,5,16,4,"true","true",256,64,6.80541553862809e-09,9
6,3,1,4,"true","false",512,64,4.4916241431284e-10,9
4,1,2,2,"true","false",512,1,3.30995537873054e-10,9
6,6,1,4,"true","true",64,2,1.28769317374291e-10,9
8,4,16,2,"true","true",32,1,8.29875360994418e-10,9
5,5,8,4,"true","false",512,8,6.6504093752863e-10,9
2,2,8,2,"true","true",64,32,9.29959640934592e-09,9
8,4,1,2,"true","false",32,4,4.07742726554402e-10,9
5,5,2,2,"true","false",64,2,2.68306275060167e-10,9
6,6,8,2,"true","true",256,2,6.14378643762391e-10,9
24,6,2,4,"true","true",128,16,3.31627252697418e-10,9
4,1,8,2,"true","false",128,4,4.50137568241853e-10,9
4,2,2,2,"true","false",1024,1024,3.9772918140288e-09,9
8,2,2,4,"true","false",64,1,2.07317273761215e-10,9
20,5,2,4,"true","false",128,2,1.50148231794493e-10,9
1,1,2,2,"true","true",512,4,4.76975805808761e-10,9
6,3,8,4,"true","false",64,16,2.08327699922181e-09,9
6,2,4,4,"true","false",128,4,2.65411250752954e-10,9
8,4,4,4,"true","false",64,16,1.2960433454866e-09,9
16,4,4,2,"true","false",1024,128,4.04768969302831e-10,9
4,2,1,4,"true","true",32,16,1.85485458431298e-09,9
2,2,16,4,"true","false",128,4,1.39472339128956e-09,9
5,5,16,2,"true","false",64,16,5.97719306453918e-09,9
15,5,2,4,"true","true",256,32,4.74751876927154e-10,9
18,6,4,4,"true","true",128,16,4.54069781454435e-10,9
4,4,4,2,"true","false",256,32,1.33274726999502e-09,9
2,1,1,2,"true","true",512,8,2.6529382066824e-10,9
6,3,2,4,"true","true",512,4,1.58046462799045e-10,9
12,6,1,4,"true","true",256,64,7.4301461460486e-10,9
