"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
6,6,1,4,"true","false",32,16,1.29866101609151e-09,5
3,1,16,4,"true","true",512,512,1.39071021937969e-08,5
20,5,8,2,"true","false",1024,64,3.92382494720669e-10,5
15,5,1,2,"true","true",128,32,7.39164308852222e-10,5
8,4,8,2,"true","false",128,1,3.8914147111934e-10,5
8,4,8,2,"true","false",256,2,3.87359506070904e-10,5
4,2,1,4,"true","false",512,256,1.90410303167569e-09,5
4,2,4,4,"true","false",32,1,4.16894986356134e-10,5
6,6,4,2,"true","true",1024,1024,1.48879306673865e-08,5
4,2,1,2,"true","false",512,512,3.79117798804013e-09,5
1,1,8,4,"true","true",128,1,1.28143571974039e-09,5
15,5,8,4,"true","true",128,16,6.96413237278112e-10,5
20,5,2,2,"true","false",512,2,1.61372218122697e-10,5
3,1,4,4,"true","true",256,2,3.68266588950677e-10,5
8,2,8,4,"true","true",32,2,4.37484433336933e-10,5
5,5,4,4,"true","true",1024,16,4.87196421675156e-10,5
6,2,4,4,"true","true",512,2,2.60580058361095e-10,5
24,6,1,2,"true","true",32,8,6.06138915231401e-10,5
8,2,8,4,"true","true",1024,128,7.34709037190498e-10,5
3,1,2,2,"true","false",256,4,3.758598387695e-10,5
12,6,16,2,"true","false",128,8,1.01042611402592e-09,5
8,2,1,4,"true","true",1024,1024,3.59859814380929e-09,5
20,5,4,4,"true","false",128,128,2.64211480586837e-09,5
3,3,1,4,"true","false",1024,32,1.4525192473807e-10,5
10,5,8,2,"true","true",512,16,3.8012297426352e-10,5
9,3,16,4,"true","false",32,2,8.38046214466664e-10,5
